County,Precinct,Bennet_First_Expression,Bennet_Final_Expression,Bennet_SDE,Biden_First_Expression,Biden_Final_Expression,Biden_SDE,Bloomberg_First_Expression,Bloomberg_Final_Expression,Bloomberg_SDE,Buttigieg_First_Expression,Buttigieg_Final_Expression,Buttigieg_SDE,Delaney_First_Expression,Delaney_Final_Expression,Delaney_SDE,Gabbard_First_Expression,Gabbard_Final_Expression,Gabbard_SDE,Klobuchar_First_Expression,Klobuchar_Final_Expression,Klobuchar_SDE,Patrick_First_Expression,Patrick_Final_Expression,Patrick_SDE,Sanders_First_Expression,Sanders_Final_Expression,Sanders_SDE,Steyer_First_Expression,Steyer_Final_Expression,Steyer_SDE,Warren_First_Expression,Warren_Final_Expression,Warren_SDE,Yang_First_Expression,Yang_Final_Expression,Yang_SDE,Other_First_Expression,Other_Final_Expression,Other_SDE,Uncommitted_First_Expression,Uncommitted_Final_Expression,Uncommitted_SDE
Appanoose,Vermillion_Douglas_Sharon,0,0,0,8,8,0.0800,0,0,0,14,15,0.2400,0,0,0,0,0,0,4,8,0.1600,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Appanoose,Washington_Wells,0,0,0,6,7,0.2400,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Appanoose,Total,0,0,0,80,96,1.6800,0,0,0,119,140,2.2400,0,0,0,0,0,0,30,22,0.4000,0,0,0,61,57,0.9600,15,12,0.2400,35,7,0.0800,4,4,0.0800,0,0,0,2,8,0
Audubon,Precinct_1,0,0,0,17,23,0.3000,0,0,0,23,31,0.4000,0,0,0,0,0,0,17,18,0.3000,0,0,0,17,18,0.2000,8,0,0,20,21,0.3000,9,0,0,0,0,0,0,0,0
Audubon,Precinct_2,0,0,0,28,38,0.6000,0,0,0,8,0,0,0,0,0,0,0,0,25,37,0.6000,0,0,0,14,17,0.3000,3,0,0,12,0,0,0,0,0,0,0,0,2,0,0
Audubon,Total,0,0,0,45,61,0.9000,0,0,0,31,31,0.4000,0,0,0,0,0,0,42,55,0.9000,0,0,0,31,35,0.5000,11,0,0,32,21,0.3000,9,0,0,0,0,0,2,0,0
Benton,Big_Grove_Union_Van_Horne,0,0,0,7,7,0.0750,0,0,0,8,8,0.1500,0,0,0,0,0,0,10,10,0.1500,0,0,0,12,12,0.2250,0,0,0,7,7,0.0750,0,0,0,0,0,0,0,0,0
Benton,Benton_Canton_Shellsburg,0,0,0,28,31,0.6000,0,0,0,23,29,0.5250,0,0,0,0,0,0,7,0,0,0,0,0,12,14,0.2250,4,0,0,15,15,0.3000,0,0,0,0,0,0,0,0,0
Benton,Belle_Plaine_1,0,0,0,8,8,0.1500,0,0,0,5,5,0.0750,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0.0750,0,0,0,6,6,0.1500,0,0,0,0,0,0,0,0,0
Benton,Belle_Plaine_2,0,0,0,7,7,0.1500,0,0,0,5,5,0.0750,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0.0750,0,0,0,4,4,0.0750,0,0,0,0,0,0,0,0,0
Benton,Belle_Plaine_3,0,0,0,7,9,0.1500,0,0,0,6,7,0.1500,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0.1500,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Benton,Bruce_Cedar_Mt_Auburn,0,0,0,4,4,0.0750,0,0,0,7,7,0.1500,0,0,0,0,0,0,5,5,0.0750,0,0,0,4,4,0.0750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benton,Eden_Harrison_Taylor,0,0,0,10,10,0.1500,0,0,0,13,15,0.2250,0,0,0,0,0,0,10,10,0.1500,0,0,0,7,9,0.1500,5,0,0,8,9,0.0750,0,0,0,0,0,0,0,0,0
Benton,Eldorado_Newhall,0,0,0,13,16,0.3000,0,0,0,5,8,0.1500,0,0,0,0,0,0,3,0,0,0,0,0,10,10,0.2250,1,0,0,6,6,0.0750,2,0,0,0,0,0,0,0,0
Benton,Florence_St_Clair_Norway,0,0,0,19,20,0.4500,0,0,0,8,9,0.1500,0,0,0,0,0,0,0,0,0,0,0,0,11,14,0.3000,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0
Benton,Fremont_Atkins,0,0,0,28,28,0.6000,0,0,0,22,22,0.5250,0,0,0,0,0,0,9,0,0,0,0,0,20,20,0.5250,4,0,0,8,0,0,3,0,0,0,0,0,0,0,0
Benton,Iowa_Leroy_Luzerne_Blairstown,0,0,0,12,16,0.3750,0,0,0,12,18,0.3750,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,1,0,0,0,0,0,0,0,0
Benton,Kane_Keystone,0,0,0,7,8,0.2250,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,0.2250,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0
Benton,Polk_Urbana,0,0,0,21,25,0.4500,0,0,0,22,27,0.5250,0,0,0,0,0,0,13,14,0.2250,0,0,0,13,17,0.3000,3,0,0,10,0,0,2,0,0,0,0,0,0,2,0
Benton,Vinton_1,0,0,0,22,22,0.3750,0,0,0,14,14,0.2250,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0.1500,0,0,0,12,12,0.1500,1,1,0,0,0,0,0,0,0
Benton,Vinton_2,0,0,0,8,8,0.0750,0,0,0,9,9,0.1500,0,0,0,0,0,0,8,9,0.1500,0,0,0,7,8,0.1500,1,0,0,6,6,0.0750,0,0,0,0,0,0,0,0,0
Benton,Vinton_3,0,0,0,10,11,0.1500,0,0,0,18,19,0.3000,0,0,0,0,0,0,8,9,0.1500,0,0,0,12,12,0.2250,0,0,0,1,0,0,2,0,0,1,0,0,0,1,0
Benton,Walford,0,0,0,10,10,0.1500,0,0,0,6,7,0.1500,0,0,0,0,0,0,11,12,0.2250,0,0,0,9,10,0.2250,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0
Benton,Total,0,0,0,221,240,4.5000,0,0,0,186,209,3.9000,0,0,0,0,0,0,84,69,1.1250,0,0,0,155,170,3.3000,22,0,0,93,65,0.9750,17,1,0,1,0,0,4,3,0
Black_Hawk,Barclay_Lester_Dunkerton,0,0,0,11,18,0.2020,0,0,0,15,18,0.4040,0,0,0,0,0,0,4,0,0,0,0,0,10,13,0.2020,9,10,0.2020,6,0,0,0,0,0,0,0,0,2,0,0
Black_Hawk,Cedar_Orange,0,0,0,13,16,0.4040,3,0,0,14,14,0.2020,0,0,0,0,0,0,0,0,0,0,0,0,15,16,0.4040,3,0,0,17,19,0.4040,2,0,0,0,0,0,0,2,0
Black_Hawk,Bennington,0,0,0,0,0,0,0,0,0,5,5,0.2020,0,0,0,0,0,0,1,1,0,0,0,0,3,3,0,4,4,0,0,0,0,1,1,0,2,2,0,0,0,0
Black_Hawk,Evansdale_W1,0,0,0,6,10,0.2020,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,18,0.6060,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Black_Hawk,Evansdale_W2,0,0,0,2,0,0,0,0,0,10,11,0.4040,0,0,0,0,0,0,1,0,0,0,0,0,7,10,0.2020,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Black_Hawk,Evansdale_W3,0,0,0,6,7,0.2020,0,0,0,7,10,0.4040,0,0,0,0,0,0,3,3,0.2020,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0
Black_Hawk,Evansdale_W4,0,0,0,6,7,0.2020,0,0,0,13,15,0.2020,0,0,0,0,0,0,1,0,0,0,0,0,6,6,0.2020,0,0,0,4,7,0.2020,4,0,0,0,0,0,1,0,0
Black_Hawk,Mt_Vernon,0,0,0,9,11,0.2020,0,0,0,6,9,0.2020,0,0,0,0,0,0,6,7,0.2020,0,0,0,7,10,0.2020,4,0,0,5,0,0,0,0,0,0,0,0,1,0,0
Black_Hawk,Poyner_P1_&_East_Wloo,0,0,0,9,14,0.2020,0,0,0,10,12,0.2020,0,0,0,0,0,0,1,0,0,0,0,0,10,15,0.2020,2,0,0,5,0,0,3,0,0,0,0,0,0,0,0
Black_Hawk,Poyner_P2_Fox_Gilbert_Jesup,0,0,0,13,14,0.4040,0,0,0,18,21,0.6060,0,0,0,0,0,0,0,0,0,0,0,0,12,19,0.4040,1,0,0,7,0,0,7,0,0,0,0,0,0,0,0
Black_Hawk,WL_1_6,0,0,0,34,37,0.6060,0,0,0,30,37,0.4040,0,0,0,0,0,0,32,41,0.6060,0,0,0,34,39,0.6060,0,0,0,21,0,0,2,0,0,0,0,0,0,0,0
Black_Hawk,WL_2_1,0,0,0,10,10,0.2020,0,0,0,13,19,0.4040,0,0,0,0,0,0,8,0,0,0,0,0,18,19,0.4040,0,0,0,11,11,0.2020,0,0,0,0,0,0,0,1,0
Black_Hawk,WL_2_6,0,0,0,25,26,0.2020,0,0,0,30,31,0.4040,0,0,0,0,0,0,31,36,0.4040,0,0,0,26,28,0.4040,5,0,0,26,28,0.4040,9,0,0,0,0,0,0,0,0
Black_Hawk,WL_5_5,0,0,0,32,32,0.4040,0,0,0,48,49,0.4040,0,0,0,0,0,0,49,52,0.6060,0,0,0,33,35,0.4040,9,0,0,27,31,0.2020,0,0,0,0,0,0,1,1,0
Black_Hawk,CF_W1_P3,0,0,0,24,0,0,0,0,0,58,90,0.8080,0,0,0,0,0,0,22,0,0,0,0,0,141,154,1.4140,4,0,0,75,85,0.8080,23,0,0,0,0,0,3,0,0
Black_Hawk,CF_W2_P1,0,0,0,0,0,0,0,0,0,20,23,0.2020,0,0,0,0,0,0,5,0,0,0,0,0,37,39,0.4040,0,0,0,18,19,0.2020,8,0,0,0,0,0,0,7,0
Black_Hawk,CF_W2_P2_&_CF_Twp,0,0,0,14,0,0,0,0,0,72,76,0.8080,0,0,0,0,0,0,44,58,0.6060,0,0,0,80,87,1.0100,9,0,0,38,42,0.4040,14,0,0,0,0,0,2,0,0
Black_Hawk,CF_W2_P3,1,0,0,42,42,0.6060,0,0,0,63,69,1.0100,0,0,0,0,0,0,67,69,1.0100,0,0,0,46,50,0.6060,0,0,0,43,43,0.6060,11,0,0,0,0,0,0,0,0
Black_Hawk,CF_W3_P3,0,0,0,14,0,0,0,0,0,35,42,0.4040,0,0,0,0,0,0,18,27,0.4040,0,0,0,50,52,0.6060,1,0,0,40,45,0.4040,4,0,0,0,0,0,3,0,0
Black_Hawk,Total,1,0,0,270,244,4.0400,3,0,0,470,551,7.6760,0,0,0,0,0,0,294,294,4.0400,0,0,0,545,613,8.2820,56,14,0.2020,351,330,3.8380,89,1,0,2,2,0,13,11,0
Boone,Boone_1st_Ward,0,0,0,8,0,0,0,0,0,22,39,0.5700,0,0,0,0,0,0,1,0,0,0,0,0,41,41,0.7600,9,0,0,20,25,0.3800,8,0,0,0,0,0,0,0,0
Boone,Boone_2nd_Ward,0,0,0,24,25,0.3800,0,0,0,34,38,0.5700,0,0,0,0,0,0,20,20,0.1900,0,0,0,21,22,0.3800,0,0,0,23,24,0.3800,8,1,0,0,0,0,0,0,0
Boone,Boone_3rd_Ward,0,0,0,16,0,0,0,2,0,44,54,0.5700,0,0,0,0,0,0,20,25,0.3800,0,0,0,38,44,0.5700,0,0,0,24,29,0.3800,19,11,0,0,0,0,4,0,0
Boone,Boone_5th_Ward,0,0,0,1,0,0,0,0,0,22,23,0.5700,0,0,0,0,0,0,10,11,0.3800,0,0,0,22,24,0.5700,1,0,0,13,14,0.3800,3,0,0,0,0,0,0,0,0
Boone,Madrid_2nd_Ward,0,0,0,4,0,0,0,0,0,17,17,0.1900,0,0,0,0,0,0,6,11,0.1900,0,0,0,14,17,0.3800,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0
Boone,Madrid_3rd_Ward,2,0,0,2,0,0,0,0,0,9,15,0.1900,0,0,0,0,0,0,1,0,0,0,0,0,9,10,0.1900,3,0,0,10,12,0.1900,3,0,0,0,0,0,0,2,0
Boone,Rural_Precinct_1,0,0,0,10,3,0,1,0,0,22,25,0.3800,0,0,0,0,0,0,16,20,0.1900,0,0,0,20,21,0.1900,0,0,0,22,24,0.1900,4,2,0,0,0,0,0,0,0
Boone,Rural_Precinct_2,0,0,0,0,0,0,0,0,0,36,37,0.3800,0,0,0,0,0,0,26,26,0.3800,0,0,0,18,19,0.1900,18,18,0.1900,19,19,0.1900,2,0,0,0,0,0,0,0,0
Boone,Rural_Precinct_3,1,0,0,12,12,0.1900,0,0,0,20,23,0.1900,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,9,16,0.1900,0,0,0,0,0,0,0,0,0
Boone,Rural_Precinct_4,0,0,0,9,0,0,0,0,0,26,34,0.3800,0,0,0,0,0,0,23,25,0.1900,0,0,0,20,25,0.3800,5,0,0,26,27,0.3800,6,0,0,0,0,0,0,4,0
Boone,Rural_Precinct_5,0,0,0,5,0,0,0,0,0,7,9,0.1900,0,0,0,0,0,0,12,13,0.1900,0,0,0,3,0,0,0,0,0,7,9,0.1900,0,0,0,0,0,0,0,0,0
Boone,Rural_Precinct_6,0,0,0,18,18,0.1900,0,0,0,31,31,0.3800,0,0,0,0,0,0,19,21,0.1900,0,0,0,18,26,0.1900,0,0,0,18,18,0.1900,10,0,0,0,0,0,0,0,0
Boone,Total,3,0,0,109,58,0.7600,1,2,0,290,345,4.5600,0,0,0,0,0,0,158,172,2.2800,0,0,0,229,249,3.8000,36,18,0.1900,194,217,3.0400,63,14,0,0,0,0,5,6,0
Bremer,CITY_OF_TRIPOLI_FREMONT,0,0,0,17,19,0.4533,0,0,0,9,9,0.2267,0,0,0,0,0,0,0,0,0,0,0,0,13,17,0.2267,2,0,0,10,10,0.2267,4,0,0,0,0,0,0,0,0
Bremer,CITY_OF_DENVER_JEFFERSON_TWP,0,0,0,24,25,0.4533,0,0,0,37,39,0.6800,0,0,0,0,0,0,28,30,0.4533,0,0,0,7,0,0,5,0,0,17,22,0.4533,5,0,0,0,0,0,0,7,0
Bremer,CITY_OF_FREDERIKA_FREDERIKA_&_LEROY_TWP,0,0,0,5,5,0,0,0,0,6,6,0.2267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,3,0,0,0,0,0,0,0,0,0,0
Bremer,CITY_OF_JANESVILLE_JACKSON_TWP,0,0,0,11,12,0.2267,0,0,0,16,19,0.4533,0,0,0,0,0,0,11,13,0.2267,0,0,0,7,0,0,3,0,0,15,19,0.2267,1,1,0,0,0,0,0,0,0
Bremer,LAFAYETTE_TWP_WARREN_TWPS,0,0,0,7,7,0.2267,0,0,0,15,15,0.2267,0,0,0,0,0,0,8,8,0.2267,0,0,0,0,0,0,0,0,0,6,6,0.2267,0,0,0,0,0,0,0,0,0
Bremer,CITY_OF_SUMNER_SUMNER_TWP_DAYTON_TWP,0,0,0,19,21,0.4533,0,0,0,15,18,0.4533,0,0,0,0,0,0,8,0,0,0,0,0,13,13,0.2267,0,0,0,8,14,0.2267,2,0,0,0,0,0,1,0,0
Bremer,WAVERLY_WARD_II_NE_1_4_SEC_36_WASHINGTON_TWP,0,0,0,16,0,0,0,0,0,44,49,0.4533,0,0,0,0,0,0,33,38,0.4533,0,0,0,23,25,0.2267,0,0,0,26,31,0.4533,6,0,0,0,0,0,0,0,0
Bremer,WAVERLY_WARD_III,0,0,0,12,0,0,0,0,0,57,73,0.4533,0,0,0,0,0,0,14,0,0,0,0,0,43,55,0.4533,0,0,0,42,46,0.2267,7,0,0,0,2,0,0,0,0
Bremer,WAVERLY_WARD_IV,0,0,0,29,31,0.4533,0,0,0,48,51,0.6800,0,0,0,0,0,0,24,27,0.2267,0,0,0,24,25,0.2267,0,0,0,27,27,0.2267,10,0,0,0,0,0,1,0,0
Bremer,WAVERLY_WARD_V_W_WASHINGTON_TWP,0,0,0,31,32,0.2267,0,0,0,55,61,0.6800,0,0,0,0,0,0,34,40,0.4533,0,0,0,22,0,0,4,0,0,54,73,0.6800,8,0,0,0,0,0,2,4,0
Bremer,Total,0,0,0,171,152,2.4933,0,0,0,302,340,4.5333,0,0,0,0,0,0,160,156,2.0400,0,0,0,152,135,1.3601,16,2,0,208,251,2.9468,43,1,0,0,2,0,4,11,0
Buchanan,Middlefield_Newton,0,0,0,7,7,0.1368,0,0,0,6,9,0.1368,0,0,0,0,0,0,6,6,0.1368,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
Buchanan,Aurora,0,0,0,20,22,0.4105,0,0,0,8,10,0.1368,0,0,0,0,0,0,3,0,0,0,0,0,6,6,0.1368,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Buchanan,Brandon,0,0,0,8,9,0.1368,0,0,0,5,0,0,0,0,0,0,0,0,5,10,0.1368,0,0,0,6,7,0.1368,2,0,0,9,9,0.1368,0,0,0,0,0,0,1,0,0
Buchanan,Fairbank,0,0,0,17,17,0.2737,0,0,0,8,8,0.1368,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0.1368,0,0,0,7,7,0.1368,1,0,0,0,0,0,0,0,0
Buchanan,Independence_1st_Ward,0,0,0,28,30,0.5474,0,0,0,26,31,0.6842,0,0,0,0,0,0,18,20,0.4105,0,0,0,7,0,0,2,0,0,4,0,0,6,0,0,0,0,0,0,0,0
Buchanan,Jesup,0,0,0,7,5,0,0,0,0,33,33,0.6842,0,0,0,0,0,0,14,17,0.2737,0,0,0,14,14,0.2737,0,0,0,2,1,0,17,17,0.2737,0,0,0,0,0,0
Buchanan,Perry_Westburg,0,0,0,8,9,0.2737,0,0,0,8,8,0.2737,0,0,0,0,0,0,5,5,0.1368,0,0,0,4,0,0,0,0,0,5,5,0.1368,1,0,0,0,0,0,0,0,0
Buchanan,Quasqueton,0,0,0,8,10,0.1368,0,0,0,5,0,0,0,0,0,0,0,0,11,15,0.2737,0,0,0,9,9,0.1368,0,0,0,8,9,0.1368,12,13,0.1368,0,0,0,2,0,0
Buchanan,Rowley,0,0,0,8,8,0.1368,0,0,0,12,12,0.2737,0,0,0,0,0,0,6,6,0.1368,0,0,0,6,10,0.1368,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Buchanan,Winthrop,0,0,0,18,19,0.2737,0,0,0,29,31,0.5474,0,0,0,0,0,0,10,10,0.1368,0,0,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0
Buchanan,Total,0,0,0,129,136,2.3262,0,0,0,140,142,2.8736,0,0,0,0,0,0,78,89,1.6419,0,0,0,63,52,0.9577,5,0,0,43,31,0.5472,39,30,0.4105,0,0,0,3,4,0
Buena_Vista,SRL;LGB;RELS;MAP,0,0,0,11,11,0.2000,0,0,0,9,10,0.2000,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0.2000,9,9,0.2000,11,12,0.2000,3,0,0,0,0,0,0,0,0
Buena_Vista,STORM_LAKE_01,0,0,0,1,0,0,0,0,0,11,11,0.4000,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0.4000,0,0,0,7,7,0.4000,7,7,0.2000,0,0,0,0,0,0
Buena_Vista,STORM_LAKE_02,0,0,0,11,13,0.2000,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,18,0.4000,0,0,0,12,13,0.2000,2,0,0,0,0,0,0,0,0
Buena_Vista,STORM_LAKE_04,0,0,0,16,19,0.2000,0,0,0,30,32,0.4000,0,0,0,0,0,0,20,22,0.4000,0,0,0,26,33,0.4000,0,0,0,20,20,0.2000,14,0,0,0,0,0,0,0,0
